Nombre de pieces;Nombre de chambres;Superficie salon (m²);Balcon;Ascenseur;Parking;Cave;Accessible_mobilité_réduite;Interphone;Alarme;Digicode;Gardien;Cuisine ouverte;Sans vis à vis;Calme;Exposition;DPE;GES;prix;superficie;arrondissement;charges_annuelles;Etage;Total_etages
4.0;2;18.0;0;0;0;1;0;1;0;0;1;0;0;1;1.0;5.0;2.0;745000;78.0;75012;3260;3.0;5.0
2.0;1;-1.0;0;1;0;1;0;1;0;1;1;0;1;0;-1.0;4.0;4.0;430000;49.5;75016;0;2.0;-1.0
1.0;1;32.0;0;1;0;0;0;0;0;0;1;0;0;0;3.0;5.0;3.0;280000;32.0;75012;1180;7.0;7.0
4.0;2;22.0;0;0;0;0;0;0;0;0;0;0;0;1;-1.0;5.0;5.0;470000;53.0;75014;163789;2.0;-1.0
1.0;1;24.0;1;1;0;1;0;0;0;0;0;0;0;0;3.0;4.0;3.0;413400;33.3;75004;2345;4.0;8.0
4.0;2;-1.0;1;1;1;0;0;0;0;1;1;0;1;0;-1.0;4.0;4.0;830000;85.0;75015;4800;7.0;13.0
2.0;1;19.0;0;0;0;0;0;0;0;1;0;1;0;0;5.0;6.0;6.0;392000;32.0;75005;0;1.0;4.0
2.0;1;-1.0;0;1;0;1;0;1;0;1;0;0;0;1;-1.0;5.0;5.0;424000;50.0;75014;2800;3.0;7.0
3.0;2;-1.0;0;1;0;1;0;1;0;1;0;1;0;1;-1.0;5.0;4.0;699000;68.0;75014;4381;3.0;9.0
3.0;2;28.0;1;1;0;1;0;1;0;1;0;0;0;1;-1.0;5.0;5.0;575000;59.0;75014;2376;2.0;6.0
3.0;2;-1.0;1;1;0;1;0;1;0;1;0;0;0;1;-1.0;5.0;5.0;630000;60.0;75014;4800;1.0;6.0
7.0;4;-1.0;1;1;1;1;0;1;1;1;1;0;1;1;5.0;1.0;1.0;8995000;265.0;75007;0;3.0;4.0
4.0;2;27.0;1;0;0;1;0;1;0;0;0;0;0;1;-1.0;6.0;6.0;771000;69.0;75014;1800;3.0;5.0
1.0;1;25.0;1;0;0;1;0;0;0;0;0;0;0;1;5.0;6.0;3.0;230000;25.0;75017;1428;3.0;4.0
