Nombre de pieces;Nombre de chambres;Superficie salon (m);Balcon;Ascenseur;Parking;Cave;Accessible_mobilit_rduite;Interphone;Alarme;Digicode;Gardien;Cuisine ouverte;Sans vis  vis;Calme;Exposition;DPE;GES;prix;superficie;arrondissement;charges_annuelles;Etage;Total_etages
2.0;1;20.0;0;0;0;1;0;0;0;0;0;0;0;0;5.0;6.0;3.0;325000.0;35.0;94300;2092;1.0;5.0
3.0;2;-1.0;1;0;1;0;0;0;0;0;0;0;0;0;-1.0;4.0;2.0;254900.0;64.0;94440;2152;2.0;2.0
2.0;1;20.0;0;1;0;1;0;0;0;0;0;0;0;1;5.0;3.0;1.0;397000.0;49.0;94210;2000;2.0;3.0
1.0;1;39.0;1;0;0;1;0;0;0;1;0;0;0;0;-1.0;-1.0;-1.0;126000.0;39.0;94270;2236;5.0;7.0
3.0;2;-1.0;0;0;0;1;0;1;0;0;0;1;0;1;-1.0;6.0;3.0;279000.0;43.0;94250;1028;1.0;3.0
4.0;2;19.0;1;0;0;1;0;1;0;1;0;0;0;1;5.0;4.0;4.0;388000.0;73.0;94140;1720;2.0;2.0
4.0;3;-1.0;0;1;1;1;0;0;0;0;0;0;0;1;-1.0;5.0;5.0;450000.0;68.0;94130;4056;4.0;5.0
2.0;1;20.3;0;0;0;1;0;1;0;0;0;0;0;0;5.0;5.0;2.0;183000.0;49.0;94260;1343;2.0;2.0
3.0;2;-1.0;1;0;0;1;0;1;0;0;1;1;0;1;3.0;-1.0;-1.0;209900.0;60.0;94350;2713;2.0;3.0
3.0;2;-1.0;0;0;0;0;0;0;0;0;0;1;0;0;-1.0;4.0;4.0;210000.0;45.0;94200;0;1.0;4.0
3.0;2;-1.0;1;1;0;1;0;1;0;1;0;0;0;1;1.0;5.0;2.0;669000.0;71.0;94160;3000;2.0;4.0
4.0;3;-1.0;0;0;1;0;0;0;0;0;0;0;0;0;3.0;4.0;4.0;388000.0;94.0;94120;0;1.0;2.0
3.0;2;-1.0;1;0;1;1;0;0;0;0;0;0;0;0;3.0;-1.0;-1.0;499000.0;85.0;94210;0;1.0;3.0
3.0;2;-1.0;1;1;0;0;0;1;0;1;0;0;0;0;3.0;3.0;1.0;339000.0;69.0;94140;0;3.0;6.0
4.0;3;-1.0;0;1;0;0;0;0;0;0;0;1;0;1;3.0;4.0;3.0;512000.0;93.0;94200;4140;2.0;3.0
6.0;4;41.0;0;1;1;1;0;0;0;0;1;0;0;0;-1.0;6.0;6.0;449000.0;112.0;94000;6504;2.0;3.0
3.0;2;30.0;1;1;1;1;0;1;0;1;0;0;0;0;-1.0;4.0;4.0;698000.0;84.0;94220;2676;5.0;5.0
3.0;2;-1.0;0;1;0;0;0;0;0;0;0;0;0;0;5.0;1.0;3.0;299900.0;69.0;94350;0;2.0;-1.0
2.0;1;-1.0;0;0;0;0;0;0;0;1;0;1;0;1;3.0;5.0;2.0;181900.0;24.0;94250;550;1.0;2.0
3.0;1;-1.0;0;0;0;0;0;0;0;0;0;0;0;0;-1.0;4.0;2.0;275000.0;60.0;94320;0;2.0;3.0
