Prix;Arrondissement;Nombre de pieces;Nombre de chambres;Superficie;Superficie salon (m²);Etage;Nombre d'etages;Balcon;Ascenseur;Parking;Cave;Accessible_mobilité_réduite;Interphone;Alarme;Digicode;Gardien;Cuisine ouverte;Sans vis à vis;Calme;Charge annuelles;Exposition;DPE;GES
561 000 €;Saint-Maur-des-Fossés (94100);4.0;2;84,2 m²;32.0;2;4.0;Oui;Oui;Non;Oui;Non;Oui;Non;Oui;Non;Non;Non;Oui;3 360 €/an;Ouest;C;C
495 000 €;Cachan (94230);5.0;3;96 m²;;1;5.0;Non;Oui;Non;Oui;Non;Non;Non;Non;Non;Oui;Non;Non;2 400 €/an;Sud-ouest;C;C
399 000 €;L'Hay-les-Roses (94240);4.0;3;96 m²;;3;3.0;Oui;Non;Oui;Oui;Non;Non;Oui;Oui;Non;Non;Non;Oui;5 200 €/an;;D;D
649 000 €;Fontenay sous Bois (94120);4.0;3;86 m²;;3;3.0;Oui;Non;Oui;Oui;Non;Oui;Non;Oui;Non;Oui;Non;Oui;1 800 €/an;;D;D
485 000 €;Arcueil (94110);3.0;2;67 m²;27.0;2;5.0;Oui;Oui;Non;Non;Non;Oui;Oui;Oui;Non;Oui;Non;Non;2 800 €/an;Sud-ouest;B;A
390 000 €;Maisons-Alfort (94700);3.0;2;69 m²;18.0;3;5.0;Oui;Oui;Non;Oui;Non;Non;Oui;Non;Non;Non;Non;Non;3 048 €/an;;D;D
145 000 €;Saint-Maur-des-Fossés (94100);1.0;1;24 m²;15.0;1;5.0;Non;Non;Oui;Non;Non;Oui;Non;Oui;Non;Non;Non;Oui;2 340 €/an;Sud;E;E
345 000 €;Arcueil (94110);3.0;2;67 m²;33.0;4ème;;Oui;Oui;Non;Non;Non;Non;Non;Non;Oui;Oui;Non;Non;;Ouest;B;A
415 000 €;Arcueil (94110);3.0;2;70,9 m²;37.0;3;4.0;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Oui;;Ouest;C;A
750 000 €;Saint-Maur-des-Fossés (94210);4.0;3;110 m²;;5;6.0;Oui;Oui;Oui;Oui;Non;Non;Non;Non;Oui;Non;Non;Non;5 799,86 €/an;;D;D
675 000 €;Paris 20ème (75020);3.0;2;66 m²;;3;4.0;Non;Non;Non;Oui;Non;Oui;Non;Oui;Non;Oui;Non;Oui;3 623 €/an;Sud-ouest;E;B
167 000 €;Vitry-sur-Seine (94400);2.0;1;37 m²;;1;1.0;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;500 €/an;Ouest;E;E
820 000 €;Joinville-le-Pont (94340);3.0;2;114 m²;;5;5.0;Non;Oui;Oui;Non;Non;Non;Oui;Oui;Non;Non;Non;Non;3 226 €/an;;C;A
349 000 €;Arcueil (94110);4.0;2;82,4 m²;30.0;5;7.0;Non;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;;Ouest;C;A
225 000 €;Vitry-sur-Seine (94400);2.0;2;55 m²;15.0;1er;;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;2 400 €/an;Sud-ouest;E;D
399 000 €;Arcueil (94110);4.0;3;88 m²;28.0;13;14.0;Oui;Oui;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Oui;;Sud;D;D
165 000 €;Choisy-le-Roi (94600);2.0;1;42 m²;16.0;3;4.0;Non;Non;Non;Oui;Non;Non;Non;Oui;Oui;Non;Non;Oui;1 794,72 €/an;;E;D
329 000 €;Le Plessis Trevise (94420);3.0;2;66 m²;21.0;2;5.0;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;;Sud-ouest;C;A
220 000 €;Champigny-sur-Marne (94500);4.0;3;74 m²;;1;6.0;Oui;Oui;Non;Oui;Non;Non;Oui;Oui;Non;Non;Non;Non;4 600 €/an;;G;G
276 500 €;Vitry sur Seine (94400);3.0;2;65 m²;24.0;3;4.0;Oui;Oui;Oui;Non;Non;Non;Non;Oui;Non;Non;Non;Non;2 730 €/an;;C;C
208 250 €;Vitry sur Seine (94400);3.0;2;52 m²;17.0;6;8.0;Oui;Oui;Oui;Oui;Non;Non;Non;Non;Oui;Non;Non;Non;2 730 €/an;Est;D;D
370 000 €;Paris 7ème (75007);2.0;1;27,1 m²;;1;6.0;Non;Non;Non;Non;Non;Oui;Non;Oui;Non;Non;Non;Non;940 €/an;Sud-ouest;G;C
200 000 €;Chennevières-sur-Marne (94430);5.0;3;97 m²;37.0;1;6.0;Oui;Oui;Oui;Non;Non;Non;Non;Non;Oui;Non;Non;Oui;5 244 €/an;;E;E
438 000 €;Ivry-sur-Seine (94200);4.0;3;80,7 m²;;2ème;;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Oui;2 645 €/an;;C;A
495 000 €;Le Perreux sur Marne (94170);3.0;2;74 m²;37.0;1;3.0;Oui;Non;Non;Oui;Non;Oui;Non;Oui;Non;Oui;Non;Non;1 752 €/an;Ouest;C;A
649 000 €;Fontenay sous Bois (94120);4.0;3;100 m²;;1;4.0;Oui;Oui;Oui;Oui;Non;Oui;Non;Oui;Oui;Non;Non;Oui;6 800 €/an;;D;D
186 000 €;Fresnes (94260);3.0;2;54,9 m²;;4;4.0;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;2 200 €/an;;D;C
540 000 €;Saint Mande (94160);2.0;1;87 m²;26.0;5;5.0;Non;Oui;Non;Oui;Non;Oui;Non;Oui;Non;Non;Non;Oui;1 560 €/an;Ouest;E;E
